,CST,Sunny,Windy,Rainy,Cloudy
0,01/01/2016,1,1,0,1
1,02/01/2016,0,0,1,1
2,03/01/2016,0,0,1,1
3,04/01/2016,0,0,1,1
4,05/01/2016,0,0,1,1
5,06/01/2016,0,0,1,1
6,07/01/2016,0,0,1,1
7,08/01/2016,0,0,1,1
8,09/01/2016,1,0,0,1
9,10/01/2016,0,0,0,1
10,11/01/2016,0,0,1,1
11,12/01/2016,0,0,1,1
12,13/01/2016,0,0,1,1
13,14/01/2016,0,0,1,1
14,15/01/2016,0,0,1,1
15,16/01/2016,0,0,1,1
16,17/01/2016,0,0,1,1
17,18/01/2016,0,0,1,1
18,19/01/2016,0,0,1,1
19,20/01/2016,0,1,1,1
20,21/01/2016,0,0,1,1
21,22/01/2016,0,0,1,1
22,23/01/2016,0,0,1,1
23,24/01/2016,0,0,1,1
24,25/01/2016,0,0,0,1
25,26/01/2016,1,0,0,1
26,27/01/2016,0,0,1,1
27,28/01/2016,0,0,1,1
28,29/01/2016,0,0,1,1
29,30/01/2016,0,0,1,1
30,31/01/2016,0,0,1,1
31,01/02/2016,0,0,1,1
32,02/02/2016,0,0,1,1
33,03/02/2016,0,0,1,1
34,04/02/2016,0,0,1,1
35,05/02/2016,0,0,1,1
36,06/02/2016,0,0,0,1
37,07/02/2016,1,0,0,0
38,08/02/2016,1,0,0,0
39,09/02/2016,1,0,0,0
40,10/02/2016,1,0,0,0
41,11/02/2016,0,0,1,1
42,12/02/2016,1,0,0,1
43,13/02/2016,1,0,0,0
44,14/02/2016,0,0,1,1
45,15/02/2016,0,0,1,1
46,16/02/2016,0,0,1,1
47,17/02/2016,0,0,1,1
48,18/02/2016,0,0,1,1
49,19/02/2016,0,0,1,1
50,20/02/2016,0,0,1,1
51,21/02/2016,0,1,0,1
52,22/02/2016,0,0,1,1
53,23/02/2016,0,0,1,1
54,24/02/2016,0,0,1,1
55,25/02/2016,0,1,1,1
56,26/02/2016,0,0,1,1
57,27/02/2016,0,0,1,1
58,28/02/2016,0,0,0,1
59,29/02/2016,1,0,0,1
60,01/03/2016,1,1,0,0
61,02/03/2016,1,0,0,0
62,03/03/2016,1,0,0,0
63,04/03/2016,0,0,0,1
64,05/03/2016,0,0,0,1
65,06/03/2016,1,0,0,1
66,07/03/2016,0,0,0,1
67,08/03/2016,0,0,1,1
68,09/03/2016,0,0,1,1
69,10/03/2016,0,0,1,1
70,11/03/2016,0,0,1,1
71,12/03/2016,0,0,1,1
72,13/03/2016,0,0,1,1
73,14/03/2016,0,0,1,1
74,15/03/2016,0,0,1,1
75,16/03/2016,0,0,1,1
76,17/03/2016,0,0,1,1
77,18/03/2016,0,0,1,1
78,19/03/2016,0,0,1,1
79,20/03/2016,0,0,1,1
80,21/03/2016,0,0,1,1
81,22/03/2016,0,0,1,1
82,23/03/2016,0,0,1,1
83,24/03/2016,0,0,1,1
84,25/03/2016,0,0,1,1
85,26/03/2016,1,0,0,0
